date,agency,name,seat,creditInfoId
08.10.2025,NMS,PS,44,nms_mar25
08.10.2025,NMS,SMER-SD,31,nms_mar25
08.10.2025,NMS,HLAS-SD,15,nms_mar25
08.10.2025,NMS,REPUBLIKA,21,nms_mar25
08.10.2025,NMS,KDH,9,nms_mar25
08.10.2025,NMS,SaS,10,nms_mar25
08.10.2025,NMS,Slovensko(OĽANO),11,nms_mar25
08.10.2025,NMS,Demokrati,9,nms_mar25
25.09.2025,IPSOS,PS,42,ipsos_mar25
25.09.2025,IPSOS,SMER-SD,34,ipsos_mar25
25.09.2025,IPSOS,HLAS-SD,15,ipsos_mar25
25.09.2025,IPSOS,REPUBLIKA,20,ipsos_mar25
25.09.2025,IPSOS,KDH,12,ipsos_mar25
25.09.2025,IPSOS,SaS,14,ipsos_mar25
25.09.2025,IPSOS,Slovensko(OĽANO),13,ipsos_mar25
19.09.2025,Focus,PS,39,focus_apr25
19.09.2025,Focus,SMER-SD,32,focus_apr25
19.09.2025,Focus,HLAS-SD,17,focus_apr25
19.09.2025,Focus,REPUBLIKA,17,focus_apr25
19.09.2025,Focus,KDH,11,focus_apr25
19.09.2025,Focus,SaS,10,focus_apr25
19.09.2025,Focus,Slovensko(OĽANO),15,focus_apr25
19.09.2025,Focus,Demokrati,9,focus_apr25
20.08.2025,AKO,PS,41,ako_feb25
20.08.2025,AKO,SMER-SD,34,ako_feb25
20.08.2025,AKO,HLAS-SD,21,ako_feb25
20.08.2025,AKO,REPUBLIKA,13,ako_feb25
20.08.2025,AKO,KDH,13,ako_feb25
20.08.2025,AKO,SaS,14,ako_feb25
20.08.2025,AKO,Slovensko(OĽANO),14,ako_feb25
01.10.2023,Voľby NRSR,PS,32,volby_oct23
01.10.2023,Voľby NRSR,SMER-SD,42,volby_oct23
01.10.2023,Voľby NRSR,HLAS-SD,27,volby_oct23
01.10.2023,Voľby NRSR,KDH,12,volby_oct23
01.10.2023,Voľby NRSR,SaS,11,volby_oct23
01.10.2023,Voľby NRSR,OĽANO,16,volby_oct23
01.10.2023,Voľby NRSR,SNS,10,volby_oct23
