date,agency,name,percentages,color,7percentRequired
17.9.2023,Focus,SMER-SD,18.9,#cd2528,False
17.9.2023,Focus,PS,16.5,#5db5ba,False
17.9.2023,Focus,HLAS-SD,14.6,#c24772,False
17.9.2023,Focus,REPUBLIKA,8,#9c4b30,False
17.9.2023,Focus,SNS,6.4,#996633,False
17.9.2023,Focus,OĽANO,6.3,#5b8f29,True
17.9.2023,Focus,KDH,6.2,#59d0f7,False
17.9.2023,Focus,SaS,5.1,#A6CE39,False
17.9.2023,Focus,SME RODINA,4.9,#3971ce,False
17.9.2023,Focus,Demokrati,3.7,#8625CD,False
17.9.2023,Focus,Aliancia,3.6,#FFC300,False
